Pais 1;Pais 2
Argentina;Brazil
Argentina;Bolivia
Argentina;Chile
Austria;Italy
Austria;Switzerland
Austria;Costa Rica
Austria;Germany
Bolivia;Brazil
Bolivia;Chile
Brazil;Colombia
Brazil;Uruguay
Brazil;Bolivia
Brazil;Argentina
Brazil;Chile
Canada;United States
Chile;Argentina
China;India
China;Nepal
China;North Korea
China;Hong Kong
Colombia;Ecuador
Colombia;Brazil
Denmark;Germany
Dominican Republic;Haiti
Ecuador;Colombia
Egypt;Libya
Egypt;Israel
Finland;Sweden
Finland;Norway
Finland;Russia
France;Spain
France;Italy
France;Switzerland
France;Germany
Germany;France
Germany;Netherlands
Germany;Austria
Germany;Denmark
Germany;Switzerland
Greece;Turkey
Haiti;Dominican Republic
Hong Kong;China
India;Nepal
India;China
Iran;Turkey
Israel;Egypt
Italy;France
Italy;Austria
Italy;Switzerland
Kenya;Tanzania
Libya;Egypt
Mexico;United States
Nepal;China
Nepal;India
Netherlands;Germany
North Korea;Russia
North Korea;South Korea
North Korea;China
Norway;Sweden
Norway;Finland
Norway;Russia
Qatar;Saudi Arabia
Russia;North Korea
Russia;Finland
Russia;China
Saudi Arabia;United Arab Emirates
South Korea;North Korea
Spain;France
Spain;Portugal
Sweden;Norway
Sweden;Finland
Switzerland;Austria
Switzerland;Italy
Switzerland;Germany
Tanzania;Kenya
Turkey;Iran
Turkey;Greece
United Arab Emirates;Saudi Arabia
United States;Mexico
United States;Canada
Uruguay;Brazil
Uruguay;Argentina
